"Error Replays";"Error Replays"; "Fehlerhafte Wiederholungen"; "Repetición de errores"; "Ошибка повторов"; "Replays d'erreur"; "Помилка повторів"
"Add All to Ignore List";"Add All to Ignore List"; "Alle zur Ignorierliste hinzufügen"; "Agregar todo a la lista de ignorados"; "Добавить все в список игнорирования"; "Ajouter tout à la liste d'ignorés"; "Додати всі до списку ігнорування"
"Ignore";"Ignore"; "Ignorieren"; "Ignorar"; "Игнорировать"; "Ignorer"; "Ігнорувати"
"Replays added to the ignore list. You can manage the list in the Settings.";"Replays added to the ignore list. You can manage the list in the Settings."; "Wiederholungen wurden zur Ignorierliste hinzugefügt. Sie können die Liste in den Einstellungen verwalten."; "Reproducciones añadidas a la lista de ignorados. Puede gestionar la lista en Configuración."; "Повторы добавлены в список игнорирования. Вы можете управлять списком в настройках."; "Replays ajoutés à la liste d'ignorés. Vous pouvez gérer la liste dans les paramètres."; "Повтори додані до списку ігнорування. Ви можете управляти списком у налаштуваннях."
"Replay added to the ignore list. You can manage the list in the Settings.";"Replay added to the ignore list. You can manage the list in the Settings."; "Wiederholung zur Ignorierliste hinzugefügt. Sie können die Liste in den Einstellungen verwalten."; "Repetición añadida a la lista de ignorados. Puede gestionar la lista en Configuración."; "Повтор добавлен в список игнорирования. Вы можете управлять списком в настройках."; "Replay ajouté à la liste d'ignorés. Vous pouvez gérer la liste dans les paramètres."; "Повтор додано до списку ігнорування. Ви можете управляти списком у налаштуваннях."
"New Version Available!";"New Version Available!"; "Neue Version verfügbar!"; "¡Nueva versión disponible!"; "Доступна новая версия!"; "Nouvelle version disponible !"; "Доступна нова версія!"
"Would you like to update now?";"Would you like to update now?"; "Möchten Sie jetzt aktualisieren?"; "¿Quieres actualizar ahora?"; "Хотите обновить сейчас?"; "Voulez-vous mettre à jour maintenant ?";
"Update Failed";"Update Failed"; "Aktualisierung fehlgeschlagen"; "Fallo en la actualización"; "Обновление не удалось"; "Échec de la mise à jour"; "Оновлення не вдалося"
"Your version is up to date.";"Your version is up to date."; "Ihre Version ist auf dem neuesten Stand."; "Tu versión está actualizada."; "Ваша версия обновлена."; "Votre version est à jour."; "Ваша версія оновлена."
"Recalculate Ratings";"Recalculate Ratings"; "Bewertungen neu berechnen"; "Recalcular calificaciones"; "Пересчитать рейтинги"; "Recalculer les notes"; "Перерахувати рейтинги"
"Starting local rating recalculation";"Starting local rating recalculation"; "Lokale Bewertungsberechnung startet"; "Iniciando recálculo de calificaciones locales"; "Начать пересчет локального рейтинга"; "Démarrage du recalcul des notes locales"; "Розпочати перерахунок місцевого рейтингу"
"Ratings recalculated.";"Ratings recalculated."; "Bewertungen neu berechnet."; "Calificaciones recalculadas."; "Рейтинги пересчитаны."; "Notes recalculées."; "Рейтинги перераховані."
"Already decoding.";"Already decoding."; "Bereits am Decodieren."; "Ya está descodificando."; "Уже декодируется."; "Déjà en cours de décodage."; "Вже декодується."
"New replay detected.";"New replay detected."; "Neue Wiederholung erkannt."; "Nueva repetición detectada."; "Обнаружен новый повтор."; "Nouvelle rediffusion détectée."; "Виявлено новий повтор."
"No new replays found.";"No new replays found."; "Keine neuen Wiederholungen gefunden."; "No se encontraron nuevas repeticiones."; "Новые повторы не найдены."; "Aucune nouvelle rediffusion trouvée."; "Нових повторів не знайдено."
"Decoding canceled.";"Decoding canceled."; "Dekodierung abgebrochen."; "Descodificación cancelada."; "Декодирование отменено."; "Décodage annulé."; "Декодування скасовано."
"Start decoding.";"Start decoding."; "Dekodierung startet."; "Iniciar descodificación."; "Начать декодирование."; "Démarrer le décodage."; "Почати декодування."